organism,ncbi,jgi,assembly,BioSample,BioProject
Archaea_Aigarchaeota_Aigarchaeota_archaeon_strain_OS1,,21516,NA,NA,NA
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_JGI_0000001_A7_GBS_A_001_112,SAMN02440951,NA,GCA_000398565.1,SAMN02440951,PRJNA192536
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_JGI_0000106_J15_GBS_C_001_288,SAMN02440925,NA,GCA_000405685.1,SAMN02440925,PRJNA192397
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_SCGC_AAA471_B22_Combined_Assembly_pSL4_1__pSL4,SAMN02441064,NA,GCA_000402935.1,SAMN02441064,PRJNA192283
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_SCGC_AAA471_D15_Combined_Assembly_pSL4_2__pSL4,SAMN02440400,NA,GCA_000402915.1,SAMN02440400,PRJNA192287
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_SCGC_AAA471_E14,SAMN02441745,NA,GCA_000402965.1,SAMN02441745,PRJNA192288
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_SCGC_AAA471_E14_Combined_Assembly_pSL4_3__pSL4,SAMN02441745,NA,GCA_000402965.1,SAMN02441745,PRJNA192288
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_SCGC_AAA471_F17_GBS_N_001_13,SAMN02440937,NA,GCA_000405905.1,SAMN02440937,PRJNA192307
Archaea_Hadesarchaea_archaeon_YNP_45,SAMN04159681,NA,GCA_001515205.2,SAMN04159681,PRJNA298487
Archaea_Hadesarchaea_archaeon_YNP_N21,SAMN04159680,NA,GCA_001515215.1,SAMN04159680,PRJNA298487
Archaea_CP_YNPFFA_candidate_division_YNPFFA_archaeon_SCGC_AAA471_B05_Combined_Assembly_YNPFFA_1__YNPFFA,SAMN02441387,NA,GCA_000380705.1,SAMN02441387,PRJNA192282
Archaea_CP_YNPFFA_candidate_division_YNPFFA_archaeon_SCGC_AAA471_C03_GBS_N_001_6,SAMN02440401,NA,GCA_000402895.1,SAMN02440401,PRJNA192285
Archaea_CP_YNPFFA_candidate_division_YNPFFA_archaeon_SCGC_AAA471_L13_GBS_N_001_22,SAMN02440397,NA,GCA_000402095.1,SAMN02440397,PRJNA192312
Archaea_CP_YNPFFA_candidate_division_YNPFFA_archaeon_SCGC_AAA471_L14_GBS_N_001_23,SAMN02440535,NA,GCA_000399825.1,SAMN02440535,PRJNA192313
Archaea_CP_Z7ME43_WOR_bin_DG_70,LSSB00000000,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Acidilobaceae_Acidilobus_saccharovorans_345_15_chromosome,NC_014374,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Caldisphaeraceae_Caldisphaera_lagunensis_IC_154_DSM_15908,NC_019791,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Aeropyrum_camini_SY1_JCM_12091,SAMD00013766,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Desulfurococcus_fermentans_Z_1312_DSM_16532,NC_018001,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ignicoccus_hospitalis_KIN4I,NC_009776,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ignisphaera_aggregans_DSM_17230_chromosome,SAMN00016987,NA,GCA_000145985.1,SAMN00016987,PRJNA33361
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ingnisphaeroid_species,,2799,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Staphylothermus_hellenicus_DSM_12710_chromosome,NC_014205,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Thermogladius_cellulolyticus_1633,NC_017954,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Thermosphaera_aggregans_DSM_11486_chromosome,NC_014160,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Hyperthermus_butylicus_DSM_5456,NC_008818,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Pyrolobus_fumarii_1A_DSM_11204,NC_015931,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Site_03_Desulfuro,,1365,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Site_04_Desulfuro,,1366,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Site_08_Desulfuro,,1367,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Site_19_Desulfuro,,1368,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Fervidicoccales_Fervidicoccaceae_Fervidicoccus_fontis_Kam940,SAMN02603095,NA,GCA_000258425.1,SAMN02603095,PRJNA91117
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Acidianus_hospitalis_W1_chromosome,NC_015518,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Metallosphaera_sedula_DSM_5348,NC_009440,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Sulfolobus_solfataricus_P2,NC_002754,NA,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobales_archaeon_Acd1,SAMN02470749,NA,GCA_000389735.1,SAMN02470749,PRJNA189433
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobales_archaeon_AZ1,SAMN03444554,NA,GCA_000565255.1,SAMN03444554,PRJNA198460
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_YNP_Site_19_Thermoproteales_Type_II,,2633,NA,NA,NA
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_YNP_Site_4_Thermoproteales_Type_II,,2632,NA,NA,NA
