organism,ncbi,assembly,BioSample,BioProject
Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsiales_Rickettsiaceae_Rickettsieae_Rickettsia_conorii_Malish_7,NC_003103,GCA_000007025.1,SAMN02603141,PRJNA42
Bacteria_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacteraceae_Caldanaerobacter_subterraneus_tengcongensis_MB4T,NC_003869,GCA_000007085.1,SAMN02603009,PRJNA249
Bacteria_Fusobacteria_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_nucleatum_nucleatum_ATCC_25586,NC_003454,GCA_000007325.1,SAMN02603417,PRJNA295
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Microbacteriaceae_Leifsonia_xyli_xyli_CTCB07,NC_006087,GCA_000007665.1,SAMN02603772,PRJNA212
Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Chromobacterium_group_Chromobacterium_violaceum_ATCC_12472,NC_005085,GCA_000007705.1,SAMN02603528,PRJNA444
Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Mannheimia_succiniciproducens_MBEL55E,NC_006300,GCA_000007745.1,SAMN02603473,PRJNA13068
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Propionibacterineae_Propionibacteriaceae_Propionibacterium_acnes_KPA171202,NC_006085,GCA_000008345.1,SAMN02603281,PRJNA12460
Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Idiomarinaceae_Idiomarina_loihiensis_L2TR,NC_006512,GCA_000008465.1,SAMN02604184,PRJNA10790
Bacteria_Thermotogae_Thermotogae_Thermotogales_Thermotogaceae_Thermotoga_maritima_MSB8,NC_000853,GCA_000008545.1,SAMN02603986,PRJNA111
Bacteria_Chloroflexi_Dehalococcoidetes_Dehalococcoidales_Dehalococcoidaceae_Dehalococcoides_mccartyi_CBDB1,NC_007356,GCA_000009025.1,SAMEA3138187,PRJNA15604
Bacteria_Proteobacteria_deltaepsilon_subdivisions_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Campylobacter_jejuni_jejuni_NCTC_11168,NC_002163,GCA_000009085.1,SAMEA1705929,PRJNA8
Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonadales_Nitrosomonadaceae_Nitrosomonas_europaea_ATCC_19718,NC_004757,GCA_000009145.1,SAMEA3138193,PRJNA52
Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Alcanivoracaceae_Alcanivorax_borkumensis_SK2,NC_008260,GCA_000009365.1,SAMEA3138202,PRJNA13005
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiales_incertae_sedis_Clostridiales_Family_XVIII._Incertae_Sedis_Symbiobacterium_thermophilum_IAM_14863,NC_006177,GCA_000009905.1,SAMD00061067,PRJNA12994
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Magnetospirillum_magneticum_AMB_1,NC_007626,GCA_000009985.1,SAMD00061077,PRJNA16217
Bacteria_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Desulfitobacterium_hafniense_Y51,NC_007907,GCA_000010045.1,SAMD00061082,PRJNA16639
Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Brevibacillus_brevis_NBRC_100599,NC_012491,GCA_000010165.1,SAMD00060942,PRJDA29147
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Escherichia_coli_K12__W3110,NC_007779,GCA_000010245.1,SAMD00061081,PRJNA16351
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Micrococcaceae_Kocuria_rhizophila_DC2201,NC_010617,GCA_000010285.1,SAMD00060935,PRJDA27833
Bacteria_Gemmatimonadetes_Gemmatimonadetes_Gemmatimonadales_Gemmatimonadaceae_Gemmatimonas_aurantiaca_T_27,NC_012489,GCA_000010305.1,SAMD00060909,PRJDA18501
Bacteria_Proteobacteria_deltaepsilon_subdivisions_Epsilonproteobacteria_unclassified_Epsilonproteobacteria_Nitratiruptor_sp._SB155_2,NC_009662,GCA_000010325.1,SAMD00060914,PRJDA18963
Bacteria_Proteobacteria_deltaepsilon_subdivisions_Epsilonproteobacteria_unclassified_Epsilonproteobacteria_Sulfurovum_sp._NBC37_1,NC_009663,GCA_000010345.1,SAMD00060915,PRJDA18965
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_Azorhizobium_caulinodans_ORS_571,NC_009937,GCA_000010525.1,SAMD00060925,PRJDA19267
Bacteria_Aquificae_Aquificae_Aquificales_Aquificaceae_Hydrogenobacter_thermophilus_TK_6,NC_013799,GCA_000010785.1,SAMD00060961,PRJDA34131
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Oceanobacillus_iheyensis_HTE831,NC_004193,GCA_000011245.1,SAMD00061101,PRJNA284
Bacteria_Cyanobacteria_Chroococcales_Thermosynechococcus_elongatus_BP_1,NC_004113,GCA_000011345.1,SAMD00061106,PRJNA308
Bacteria_Cyanobacteria_Gloeobacteria_Gloeobacterales_Gloeobacter_violaceus_PCC_7421,NC_005125,GCA_000011385.1,SAMD00061120,PRJNA9606
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Streptosporangineae_Nocardiopsaceae_Thermobifida_fusca_YX,NC_007333,GCA_000012405.1,SAMN02598543,PRJNA94
Bacteria_Proteobacteria_Betaproteobacteria_Rhodocyclales_Rhodocyclaceae_Dechloromonas_aromatica_RCB,NC_007298,GCA_000012425.1,SAMN02598546,PRJNA9635
Bacteria_Bacteroidetes_Chlorobi_group_Chlorobi_Chlorobia_Chlorobiales_Chlorobiaceae_ChlorobiumPelodictyon_group_Pelodictyon_luteolum_DSM_273,NC_007512,GCA_000012485.1,SAMN02598284,PRJNA13012
Bacteria_Cyanobacteria_Chroococcales_Synechococcus_sp._CC9902,NC_007513,GCA_000012505.1,SAMN02598312,PRJNA13655
Bacteria_Bacteroidetes_Chlorobi_group_Chlorobi_Chlorobia_Chlorobiales_Chlorobiaceae_ChlorobiumPelodictyon_group_Chlorobium_chlorochromatii_CaD3,NC_007514,GCA_000012585.1,SAMN02598328,PRJNA13921
Bacteria_Proteobacteria_deltaepsilon_subdivisions_Deltaproteobacteria_Myxococcales_Cystobacterineae_Myxococcaceae_Myxococcus_xanthus_DK_1622,NC_008095,GCA_000012685.1,SAMN02604018,PRJNA1421
Bacteria_Proteobacteria_Betaproteobacteria_Hydrogenophilales_Hydrogenophilaceae_Thiobacillus_denitrificans_ATCC_25259,NC_007404,GCA_000012745.1,SAMN02598291,PRJNA13025
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_distasonis_ATCC_8503,NC_009615,GCA_000012845.1,SAMN02604310,PRJNA13485
