ORGANISM,NCBI GENOME ACCESSION,JGI IMG SUBMISSION ID
Archaea_Aigarchaeota_Aigarchaeota_archaeon_strain_OS1,,21516
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_JGI_0000001_A7_GBS_A_001_112,SAMN02440951,
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_JGI_0000106_J15_GBS_C_001_288,SAMN02440925,
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_SCGC_AAA471_B22_Combined_Assembly_pSL4_1__pSL4,SAMN02441064,
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_SCGC_AAA471_D15_Combined_Assembly_pSL4_2__pSL4,SAMN02440400,
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_SCGC_AAA471_E14,SAMN02441745,
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_SCGC_AAA471_E14_Combined_Assembly_pSL4_3__pSL4,SAMN02441745,
Archaea_Aigarchaeota_candidate_division_pSL4_archaeon_SCGC_AAA471_F17_GBS_N_001_13,SAMN02440937,
Archaea_Hadesarchaea_archaeon_YNP_45,SAMN04159681,
Archaea_Hadesarchaea_archaeon_YNP_N21,SAMN04159680,
Archaea_CP_YNPFFA_candidate_division_YNPFFA_archaeon_SCGC_AAA471_B05_Combined_Assembly_YNPFFA_1__YNPFFA,SAMN02441387,
Archaea_CP_YNPFFA_candidate_division_YNPFFA_archaeon_SCGC_AAA471_C03_GBS_N_001_6,SAMN02440401,
Archaea_CP_YNPFFA_candidate_division_YNPFFA_archaeon_SCGC_AAA471_L13_GBS_N_001_22,SAMN02440397,
Archaea_CP_YNPFFA_candidate_division_YNPFFA_archaeon_SCGC_AAA471_L14_GBS_N_001_23,SAMN02440535,
Archaea_CP_Z7ME43_WOR_bin_DG_70,LSSB00000000,
Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Acidilobaceae_Acidilobus_saccharovorans_345_15_chromosome,NC_014374,
Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Caldisphaeraceae_Caldisphaera_lagunensis_IC_154_DSM_15908,NC_019791,
