SRA Experiment Accession,Experiment Title,Instrument Model,Library Layout,Library Source,Sample Attribute,Study Accession,Study Title,Submission Center,Submission Date,Submission Lab,Taxon Id,Updated Date,Nucleotide Count,Read Count,Assembly L50,Assembly N50,CLC Bubble Size,CLC Word Size,Mapped Reads (%),Assembled Bases,Assembled Contigs,Assembled Scaffolds,MetaBAT Bins,MetaBAT Preset,Near-complete Genomes,Medium-quality Genomes,Partial Genomes,Archaeal Genomes,Archaeal PD,Archaeal PG,Bacterial Genomes,Bacterial PD,Bacterial PG
DRX003681,Seabass metagenomes as control2,Illumina HiSeq 2000,PAIRED -,METAGENOMIC,None,DRP000969,Asian seabass metagenomes in response to different stressors,TEMASEK,None,"Molecular population genetics, Genome structural biology, Temasek life sciences laboratory",256318,2/3/15,6529580916,64649316,18692,4354,50,24,84.23,248027556,190632,61463,20,superspecific,0,0,0,0,0,0,0,0,0
DRX003682,Seabass metagenomes challenged with fast condition,Illumina HiSeq 2000,PAIRED -,METAGENOMIC,None,DRP000969,Asian seabass metagenomes in response to different stressors,TEMASEK,None,"Molecular population genetics, Genome structural biology, Temasek life sciences laboratory",256318,2/3/15,7196748536,71254936,17187,3296,50,24,84.58,200714835,169528,57335,36,superspecific,2,2,1,0,0,0,4,0.19%,0.03%
DRX011531,High-throughput sequencing of the metagenome extracted from AM-anode biofilm,Illumina HiSeq 2000,PAIRED - NOMINAL_SDEV: 5; NOMINAL_LENGTH: 160;,METAGENOMIC,sample_name: DRS011376 || sample comment: Anode-biofilm in acetate-fed MFC || BioSampleModel: Generic,DRP001053,Comparative metagenome analyses of anode-associated microbial communities developed in rice paddy field-soil microbial fuel cells,TOKYO_PHARM,None,Laboratory of Bioenergy Science and Technology,410657,7/31/14,5174326200,51743262,1395,10499,50,<missing>,83.6,87638125,20008,12647,34,superspecific,4,3,0,2,1.07%,0.10%,5,0.28%,0.02%
DRX011532,High-throughput sequencing of the metagenome extracted from GM-anode biofilm,Illumina HiSeq 2000,PAIRED - NOMINAL_SDEV: 5; NOMINAL_LENGTH: 160;,METAGENOMIC,sample_name: DRS011377 || sample comment: Anode-biofilm in glucose-fed MFC || BioSampleModel: Generic,DRP001053,Comparative metagenome analyses of anode-associated microbial communities developed in rice paddy field-soil microbial fuel cells,TOKYO_PHARM,None,Laboratory of Bioenergy Science and Technology,410657,7/31/14,5845232600,58452326,1542,14447,50,<missing>,84.77,122895156,23622,15448,50,veryspecific,7,9,0,2,1.14%,0.03%,12,0.55%,0.08%
DRX012718,Metagenomic sequencing of anode biofilm,Illumina HiSeq 2000,PAIRED - NOMINAL_SDEV: 5; NOMINAL_LENGTH: 160;,METAGENOMIC,sample_name: DRS012489 || sample comment: Total genomic DNA extracted from the anode biofilm in the methanol-fed MFC || BioSampleModel: Generic,DRP001235,Metagenomic analyses of microbial communities generating electricity from methanol,TOKYO_PHARM,None,Laboratory of Bioenergy Science and Technology,410657,7/31/14,6959567400,69595674,572,30363,50,<missing>,87.47,116196806,19543,11728,48,superspecific,9,6,0,0,0,0,14,0.78%,0.11%
ERX1064483,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500,PAIRED - NOMINAL_LENGTH: 500;,METAGENOMIC,None,ERP011577,The rumen microbial metagenome associated with high methane production in cattle,University of Edinburgh,None,European Nucleotide Archive,256318,10/22/15,9142222400,91422224,5323,12795,50,24,85.5,314154639,145808,40412,173,superspecific,8,22,1,2,0.36%,0.03%,25,1.04%,0.05%
ERX1064484,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500,PAIRED - NOMINAL_LENGTH: 500;,METAGENOMIC,None,ERP011577,The rumen microbial metagenome associated with high methane production in cattle,University of Edinburgh,None,European Nucleotide Archive,256318,10/22/15,10218505200,102185052,6380,10398,50,24,76.73,355880795,200575,52176,204,superspecific,10,19,7,1,0.00%,0.02%,31,1.23%,0.12%
ERX1064485,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500,PAIRED - NOMINAL_LENGTH: 500;,METAGENOMIC,None,ERP011577,The rumen microbial metagenome associated with high methane production in cattle,University of Edinburgh,None,European Nucleotide Archive,256318,10/22/15,13490614000,134906140,4992,14269,50,24,90.71,341757845,158647,41664,207,superspecific,14,24,8,1,0.00%,0.00%,42,1.49%,0.09%
ERX1064486,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500,PAIRED - NOMINAL_LENGTH: 500;,METAGENOMIC,None,ERP011577,The rumen microbial metagenome associated with high methane production in cattle,University of Edinburgh,None,European Nucleotide Archive,256318,10/22/15,13939874800,139398748,7383,7674,50,24,83.47,293099743,149816,50861,126,veryspecific,1,12,6,0,0,0,17,0.86%,0.03%
ERX1064487,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500,PAIRED - NOMINAL_LENGTH: 500;,METAGENOMIC,None,ERP011577,The rumen microbial metagenome associated with high methane production in cattle,University of Edinburgh,None,European Nucleotide Archive,256318,10/22/15,8685707000,86857070,5786,6985,50,24,69.11,195801105,134005,35110,104,verysensitive,5,4,3,0,0,0,11,0.59%,0.03%
ERX1064488,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500,PAIRED - NOMINAL_LENGTH: 500;,METAGENOMIC,None,ERP011577,The rumen microbial metagenome associated with high methane production in cattle,University of Edinburgh,None,European Nucleotide Archive,256318,10/22/15,11438320000,114383200,7469,4173,50,24,35.26,115826586,85643,28647,71,superspecific,0,1,0,0,0,0,1,0.00%,0.00%
ERX1064489,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500,PAIRED - NOMINAL_LENGTH: 500;,METAGENOMIC,None,ERP011577,The rumen microbial metagenome associated with high methane production in cattle,University of Edinburgh,None,European Nucleotide Archive,256318,10/22/15,14539030200,145390302,10997,5572,50,24,60.76,250862411,177893,51708,121,veryspecific,2,4,3,0,0,0,9,0.52%,0.03%
ERX1064490,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500,PAIRED - NOMINAL_LENGTH: 500;,METAGENOMIC,None,ERP011577,The rumen microbial metagenome associated with high methane production in cattle,University of Edinburgh,None,European Nucleotide Archive,256318,10/22/15,9110555200,91105552,5996,4610,50,24,37.17,112817054,91074,25999,70,superspecific,1,1,1,1,0.00%,0.04%,2,0.09%,0.01%
ERX1071607,Illumina MiSeq paired end sequencing,Illumina MiSeq,PAIRED - NOMINAL_LENGTH: 500;,METAGENOMIC,site: WEBs || fieldnumber: NA || reactor: NA || dnaweight: heavy || incubationtime: NA || drainagemethod: NA || crop: Soybean || fertilizer: Mineral,ERP010943,Active agricultural soil denitrifiers possess extensive nitrite reductase gene diversity,UNIVERSITY OF WATERLOO,None,European Nucleotide Archive,410658,10/22/15,1220176200,4067254,296,10762,50,22,30.13,11576756,2141,1587,2,superspecific,0,0,1,0,0,0,1,0.00%,0.00%
ERX1109758,Illumina HiSeq 2000 paired end sequencing,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 300;,METAGENOMIC,None,ERP012237,The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.,Center for Microbial Communities,None,European Nucleotide Archive,1263854,12/11/15,22733226900,151554846,3992,10083,50,25,91.05,200084266,52486,31025,107,superspecific,16,25,3,0,0,0,28,1.04%,0.18%
ERX1109759,Illumina HiSeq 2000 paired end sequencing,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 300;,METAGENOMIC,None,ERP012237,The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.,Center for Microbial Communities,None,European Nucleotide Archive,1263854,12/11/15,14610279600,97401864,3755,7287,50,24,90.13,127686314,38855,22541,64,veryspecific,6,7,2,0,0,0,11,0.55%,0.08%
ERX1114176,Illumina HiSeq 2000 paired end sequencing,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 550;,METAGENOMIC,investigation type: metagenome || project name: SEQld || sequencing method: Illumina HiSeq || collection date: 2012-05-28 || environmental package: sediment || geographic location (latitude): -26.317748: DD || geographic location (longitude): 152.995906: ,ERP008814,"Metagenomic sequence data was obtained for multiple sites on three SE Queensland river estuaries (Logan, Maroochydoore and Noosa). The study is looking at the ecological communities in each of these systems, and how they are impacted by pollution and envi","Commonwealth Scientific and Industrial Research Organisation (CSIRO), Australia",None,European Nucleotide Archive,256318,12/10/15,26451503822,175175522,10404,4208,50,25,23.64,185332492,67483,44584,97,superspecific,2,3,0,0,0,0,5,0.26%,0.02%
ERX166941,None,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 294;,METAGENOMIC,environment (biome): dense settlement biome (ENVO:01000248) || environment (feature): digestive tract (UBERON:0001555); intestine (UBERON:0000160) || environment (material): feces (UBERON:0001988) || host scientific name: Mus musculus || host taxid: 10090,ERP001950,"Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe",NJU,None,"Environmental health lab, School of the Environment",410661,9/10/13,1050810600,10508106,469,10644,50,<missing>,26.72,19951933,2956,2922,11,superspecific,2,1,2,0,0,0,3,0.26%,0.00%
ERX166943,None,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 293;,METAGENOMIC,environment (biome): dense settlement biome (ENVO:01000248) || environment (feature): digestive tract (UBERON:0001555); intestine (UBERON:0000160) || environment (material): feces (UBERON:0001988) || host scientific name: Mus musculus || host taxid: 10090,ERP001950,"Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe",NJU,None,"Environmental health lab, School of the Environment",410661,9/10/13,1170437400,11704374,1496,4966,50,22,58.62,34285245,8813,7369,25,superspecific,2,1,0,0,0,0,1,0.00%,0.01%
ERX166945,None,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 302;,METAGENOMIC,environment (biome): dense settlement biome (ENVO:01000248) || environment (feature): digestive tract (UBERON:0001555); intestine (UBERON:0000160) || environment (material): feces (UBERON:0001988) || host scientific name: Mus musculus || host taxid: 10090,ERP001950,"Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe",NJU,None,"Environmental health lab, School of the Environment",410661,9/10/13,1186728000,11867280,679,9281,50,22,61.1,29569452,5776,4688,18,veryspecific,2,0,0,0,0,0,1,0.00%,0.00%
ERX166947,None,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 296;,METAGENOMIC,environment (biome): dense settlement biome (ENVO:01000248) || environment (feature): digestive tract (UBERON:0001555); intestine (UBERON:0000160) || environment (material): feces (UBERON:0001988) || host scientific name: Mus musculus || host taxid: 10090,ERP001950,"Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe",NJU,None,"Environmental health lab, School of the Environment",410661,9/10/13,1176536600,11765366,1384,4616,50,22,44.34,25843883,6958,5988,17,superspecific,1,1,0,0,0,0,1,0.00%,0.01%
ERX200729,None,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 180;,GENOMIC,None,ERP002170,changes of microbial community composition and function in the acidification process of a lead/zinc mine tailings,SYSU,None,"State Key Laboratory of Biocontrol and Guangdong Key Laboratory of Plant Resources, School of Life Sciences",256318,8/7/15,2395976220,26621958,1160,4891,50,<missing>,44.54,24157596,10622,5321,14,superspecific,0,1,0,0,0,0,1,0.00%,0.02%
ERX222794,None,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 380;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP002194,Gene-targeted metagenomic analysis of 1-4-a-glucan branching enzyme gene profiles among human and animal fecal microbiota,SNU,None,"Environmental Health Microbiology Lab, Graduate School of Public Health",749906,8/7/15,14803473300,134577030,8505,7076,50,<missing>,73.36,251870366,89531,44934,123,veryspecific,4,7,4,0,0,0,12,0.56%,0.13%
ERX222795,None,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 380;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP002194,Gene-targeted metagenomic analysis of 1-4-a-glucan branching enzyme gene profiles among human and animal fecal microbiota,SNU,None,"Environmental Health Microbiology Lab, Graduate School of Public Health",749906,8/7/15,15575487180,141595338,6620,4322,50,<missing>,30.65,112628501,51397,27007,59,superspecific,1,4,0,0,0,0,5,0.32%,0.05%
ERX222797,None,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 380;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP002194,Gene-targeted metagenomic analysis of 1-4-a-glucan branching enzyme gene profiles among human and animal fecal microbiota,SNU,None,"Environmental Health Microbiology Lab, Graduate School of Public Health",749906,8/7/15,14243945540,129490414,9214,5673,50,<missing>,63.37,211551362,85790,43135,123,sensitive,5,15,2,0,0,0,15,0.64%,0.10%
ERX250271,None,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 330;,METAGENOMIC,Failed to decode,ERP002363,Metagenomic study of the microbial genes abundance in treated palm oil mill effluent,SVSB,None,Microbiology Division,51953,8/7/15,28954724844,286680444,7549,14167,50,<missing>,84.87,545636814,106729,68369,288,specific,39,47,21,10,4.80%,0.55%,91,3.49%,1.21%
ERX288947,Marine metagenome HiSeq 2000 Paire chevauchant multiplex,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 274;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,49316880860,326601860,16689,4284,50,26,30.79,294355736,116891,70494,110,superspecific,4,2,0,0,0,0,5,0.27%,0.02%
ERX288949,Marine metagenome GA IIx Simple ou Paire,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,7023767472,65034884,1340,4042,50,24,13.72,18791345,7076,4816,9,verysensitive,0,0,0,0,0,0,0,0,0
ERX288951,Marine metagenome GA IIx Simple ou Paire,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,7366381488,68207236,1488,4596,50,24,21.23,28247050,11193,6444,24,veryspecific,0,0,0,0,0,0,0,0,0
